# Source: Semrush, US database, measured 2026-09-01.
# Licence basis: Semrush ToS s3.2 -- use "solely for your own internal business
# purposes". NOT FOR REDISTRIBUTION. This repository is private; do not publish
# these rows, attach them to anything shared outside Sunreef, or feed the
# metrics to a language model (ToS s3.3(r) forbids Semrush outputs as LLM
# inputs -- keyword phrases may enter prompts, figures may not).
# CPC and SERP Features columns were stripped 2026-09-02: highest-sensitivity
# fields, never read by any code here.
Keyword,Intent,Volume,Keyword Difficulty
small sailing catamaran,Informational,320,17
smallest catamaran,Informational,320,18
what is catamaran,Informational,320,26
2 person catamaran,Informational,260,12
60 ft catamaran,Informational,260,15
80 foot catamaran,Informational,260,14
boat multihull,"Informational, Commercial",260,20
bvi catamaran charter with crew,Informational,260,24
bvi catamaran charters all-inclusive,Informational,260,23
catamara,Informational,260,29
catamaran how to sail,Informational,260,13
catamaran isla mujeres,Informational,260,22
catamaran news,Informational,260,11
catamaran race boat,Informational,260,21
catamaran stripe light blue-ivory area rug,"Informational, Transactional",260,6
catamaran yacht charter greece,Informational,260,4
crewed catamaran charter,Informational,260,14
glacier bay catamaran,Informational,260,10
how much does a catamaran cost,Informational,260,16
how to finance a catamaran,Informational,260,3
hull catamaran,Informational,260,23
hull sailboat,Informational,260,23
largest catamaran,Informational,260,15
santorini catamaran oia,"Informational, Transactional",260,22
trimaran vs catamaran,Informational,260,12
2 man catamaran,Informational,210,3
50 feet catamaran,Informational,210,17
80 ft catamaran,Informational,210,14
biggest catamaran,Informational,210,13
bvi catamaran charter cost,Informational,210,2
camphor hull,Informational,210,26
catamaran charter greece with crew,Informational,210,11
catamaran deck boats,Informational,210,19
catamaran hull characteristics,Informational,210,14
catamaran images pictures,Informational,210,24
catamaran inside,Informational,210,18
catamaran luau,Informational,210,27
center console catamaran boats,Informational,210,21
exuma catamaran charter,Informational,210,7
how much is a catamaran,Informational,210,16
how to sail a catamaran,Informational,210,15
keep balance on a ship,Informational,210,11
multi hull boat,"Informational, Commercial",210,24
sailing a catamaran,Informational,210,27
small catamaran boats,"Informational, Transactional",210,20
the catamaran club,Informational,210,18
what are the characteristics of a catamaran hull,Informational,210,5
what is the characteristics of a catamaran hull,Informational,210,7
a catamaran,Informational,170,26
bvi catamaran charters all inclusive,Informational,170,17
catamaran belize,"Informational, Transactional",170,11
catamaran boat small,Informational,170,11
catamaran caribbean,Informational,170,21
catamaran charter athens,Informational,170,9
catamaran charter news,Informational,170,4
catamaran cruise miami,Informational,170,12
catamaran excursion,Informational,170,23
catamaran flotilla holidays greece,Informational,170,7
catamaran font,Informational,170,20
catamaran holidays in croatia,Informational,170,9
catamaran hull boats,Informational,170,23
catamaran hull deck boats,Informational,170,28
catamaran net,Informational,170,8
catamaran or sailboat,Informational,170,21
catamaran riviera maya,Informational,170,15
catamaran speed boats,Informational,170,26
catamaran tours caribbean,Informational,170,8
cost of a catamaran,"Informational, Commercial",170,16
crewed catamaran charter bvi,Informational,170,24
crewed catamaran charter greece,Informational,170,8
double hull boat,Informational,170,17
f50 catamaran,Informational,170,26
font catamaran,Informational,170,24
high speed catamaran,Informational,170,16
large catamarans,Informational,170,19
powercat boat,Informational,170,24
small catamaran motor boat,Informational,170,16
twin hull yacht,Informational,170,24
what's a catamaran,Informational,170,23
wooden catamaran,Informational,170,8
40ft catamaran,"Informational, Commercial",140,20
42 foot catamaran,Informational,140,16
45 foot catamaran,Informational,140,8
50ft catamaran,Informational,140,23
55 foot catamaran,Informational,140,17
65 foot catamaran,Informational,140,12
a class catamaran,Informational,140,21
all inclusive catamaran bvi,Informational,140,25
all-inclusive catamaran charters caribbean,Informational,140,11
blue water catamaran,Informational,140,10
boat with two hulls,Informational,140,12
bvi catamaran charters by owner,Informational,140,26
cancun catamaran to isla mujeres,Informational,140,17
caribbean catamaran cruises,Informational,140,17
caribbean catamaran rental,Informational,140,25
catamaran barefoot iv,"Informational, Transactional",140,22
catamaran charter bahamas learn to sail,Informational,140,2
catamaran charter mediterranean,"Informational, Commercial",140,14
catamaran culebra pr,Informational,140,9
catamaran dinghy,Informational,140,6
catamaran houseboat,Informational,140,14
catamaran insurance company,Informational,140,16
catamaran layout,Informational,140,13
catamaran netting,Informational,140,0
catamaran racing,Informational,140,6
catamaran sails,Informational,140,5
catamaran skiff,Informational,140,8
catamaran snorkeling,Informational,140,8
catamaran trip,"Informational, Commercial",140,16
catamaran trips caribbean,Informational,140,19
catamaran vacations virgin islands,Informational,140,20
catamaran whale watching,Informational,140,14
catams,Informational,140,15
charter catamaran,Informational,140,25
charter catamaran bahamas,Informational,140,22
cool runnings catamaran barbados,"Informational, Navigational",140,16
crewed catamaran,Informational,140,17
cruising catamaran,"Informational, Commercial",140,28
liveaboard catamaran,Informational,140,24
luxury catamaran yacht,Informational,140,19
multihull sailboats,Informational,140,29
palm beach catamaran,Informational,140,18
performance catamaran,Informational,140,13
rent a catamaran for a week,Informational,140,20
small catamaran sailboats,Informational,140,15
small power catamaran,Informational,140,13
st martin catamaran charters,Informational,140,25
surf catamaran,Informational,140,2
two person catamaran,Informational,140,7
what does a catamaran look like,Informational,140,24
what is a power catamaran,Informational,140,26
whats catamaran,Informational,140,27
wood catamaran,Informational,140,4
yacht vs catamaran,Informational,140,10
30 foot catamaran,Informational,110,15
40 catamaran,Informational,110,13
46 foot catamaran,Informational,110,6
46 ft catamaran,Informational,110,15
50 catamaran,Informational,110,23
65 ft catamaran,Informational,110,12
cat power boat,Informational,110,26
catamaran boat cost,"Informational, Commercial",110,22
catamaran boat insurance,Informational,110,4
catamaran cruise italy,Informational,110,5
catamaran culebra,Informational,110,11
catamaran dr,Informational,110,17
catamaran drive,Informational,110,14
catamaran kite safari,Informational,110,3
catamaran kitesurf safari,Informational,110,0
catamaran outfits,Informational,110,24
catamaran party boat,Informational,110,10
catamaran power boat,Informational,110,24
catamaran rental mediterranean,Informational,110,14
catamaran rx,"Informational, Navigational",110,21
catamaran sailing caribbean,Informational,110,15
catamaran sailing classes,Informational,110,25
catamaran sailing courses,Informational,110,23
catamaran song,"Informational, Transactional",110,24
catamaran stand up paddle board,"Informational, Commercial",110,6
catamaran sup,Informational,110,8
catamaran trips in caribbean,Informational,110,15
catamaran vacations,Informational,110,23
catamaran vs trimaran,Informational,110,8
cheap catamaran,Informational,110,11
class a catamaran,Informational,110,11
croatia catamaran bareboat charter,Informational,110,8
cruising in a catamaran,Informational,110,6
fiberglass catamaran,Informational,110,4
greek islands catamaran charter,Informational,110,13
grenadines catamaran charter,Informational,110,8
hybrid catamaran,Informational,110,13
inside of a catamaran,Informational,110,14
international a class catamaran,Informational,110,14
is a catamaran a yacht,Informational,110,20
largest catamaran in the world,Informational,110,11
largest sailing catamaran,Informational,110,12
learn to sail a catamaran,Informational,110,5
living on a catamaran,Informational,110,3
mediterranean catamaran cruise,Informational,110,11
navy catamaran,"Informational, Transactional",110,17
portable catamaran,Informational,110,18
power catamaran vs sailing catamaran,"Informational, Commercial",110,2
que es un catamaran,Informational,110,7
racing catamarans,Informational,110,13
sail bvi catamaran,"Informational, Commercial",110,29
sailing boat vs catamaran,"Informational, Commercial",110,10
sailing monohull vs. catamaran,"Informational, Commercial",110,3
small catamaran power boat,"Informational, Transactional",110,13
small catamarans,"Informational, Transactional",110,20
small sail catamaran,Informational,110,19
turtle canyon snorkel cruise by catamaran,"Informational, Commercial",110,9
what is catamaran boat,Informational,110,20
