# Source: Semrush, US database, measured 2026-09-01.
# Licence basis: Semrush ToS s3.2 -- use "solely for your own internal business
# purposes". NOT FOR REDISTRIBUTION. Do not publish these rows or attach them
# to anything shared outside Sunreef. ToS s3.3(r) forbids Semrush outputs as
# LLM inputs: keyword phrases may enter prompts, figures may not.
keyword,monthly_volume,difficulty,intent,database,measured_at
hull sailboat,260,23,informational,us,2026-09-01
bvi catamaran charter with crew,260,24,informational,us,2026-09-01
bvi catamaran charter cost,210,2,informational,us,2026-09-01
what are the characteristics of a catamaran hull,210,5,informational,us,2026-09-01
exuma catamaran charter,210,7,informational,us,2026-09-01
what is the characteristics of a catamaran hull,210,7,informational,us,2026-09-01
catamaran charter greece with crew,210,11,informational,us,2026-09-01
biggest catamaran,210,13,informational,us,2026-09-01
80 ft catamaran,210,14,informational,us,2026-09-01
catamaran hull characteristics,210,14,informational,us,2026-09-01
how to sail a catamaran,210,15,informational,us,2026-09-01
how much is a catamaran,210,16,informational,us,2026-09-01
50 feet catamaran,210,17,informational,us,2026-09-01
catamaran inside,210,18,informational,us,2026-09-01
catamaran deck boats,210,19,informational,us,2026-09-01
center console catamaran boats,210,21,informational,us,2026-09-01
multi hull boat,210,24,"commercial, informational",us,2026-09-01
sailing a catamaran,210,27,informational,us,2026-09-01
catamaran charter news,170,4,informational,us,2026-09-01
catamaran net,170,8,informational,us,2026-09-01
crewed catamaran charter greece,170,8,informational,us,2026-09-01
wooden catamaran,170,8,informational,us,2026-09-01
catamaran charter athens,170,9,informational,us,2026-09-01
cost of a catamaran,170,16,"commercial, informational",us,2026-09-01
high speed catamaran,170,16,informational,us,2026-09-01
bvi catamaran charters all inclusive,170,17,informational,us,2026-09-01
double hull boat,170,17,informational,us,2026-09-01
large catamarans,170,19,informational,us,2026-09-01
catamaran caribbean,170,21,informational,us,2026-09-01
catamaran or sailboat,170,21,informational,us,2026-09-01
catamaran hull boats,170,23,informational,us,2026-09-01
what's a catamaran,170,23,informational,us,2026-09-01
crewed catamaran charter bvi,170,24,informational,us,2026-09-01
powercat boat,170,24,informational,us,2026-09-01
twin hull yacht,170,24,informational,us,2026-09-01
a catamaran,170,26,informational,us,2026-09-01
catamaran speed boats,170,26,informational,us,2026-09-01
catamaran hull deck boats,170,28,informational,us,2026-09-01
catamaran netting,140,0,informational,us,2026-09-01
catamaran charter bahamas learn to sail,140,2,informational,us,2026-09-01
wood catamaran,140,4,informational,us,2026-09-01
catamaran sails,140,5,informational,us,2026-09-01
45 foot catamaran,140,8,informational,us,2026-09-01
blue water catamaran,140,10,informational,us,2026-09-01
yacht vs catamaran,140,10,informational,us,2026-09-01
all-inclusive catamaran charters caribbean,140,11,informational,us,2026-09-01
65 foot catamaran,140,12,informational,us,2026-09-01
boat with two hulls,140,12,informational,us,2026-09-01
catamaran layout,140,13,informational,us,2026-09-01
performance catamaran,140,13,informational,us,2026-09-01
catamaran charter mediterranean,140,14,"commercial, informational",us,2026-09-01
catamaran houseboat,140,14,informational,us,2026-09-01
42 foot catamaran,140,16,informational,us,2026-09-01
catamaran insurance company,140,16,informational,us,2026-09-01
55 foot catamaran,140,17,informational,us,2026-09-01
crewed catamaran,140,17,informational,us,2026-09-01
luxury catamaran yacht,140,19,informational,us,2026-09-01
40ft catamaran,140,20,"commercial, informational",us,2026-09-01
rent a catamaran for a week,140,20,informational,us,2026-09-01
charter catamaran bahamas,140,22,informational,us,2026-09-01
50ft catamaran,140,23,informational,us,2026-09-01
liveaboard catamaran,140,24,informational,us,2026-09-01
what does a catamaran look like,140,24,informational,us,2026-09-01
all inclusive catamaran bvi,140,25,informational,us,2026-09-01
caribbean catamaran rental,140,25,informational,us,2026-09-01
charter catamaran,140,25,informational,us,2026-09-01
st martin catamaran charters,140,25,informational,us,2026-09-01
bvi catamaran charters by owner,140,26,informational,us,2026-09-01
what is a power catamaran,140,26,informational,us,2026-09-01
cruising catamaran,140,28,"commercial, informational",us,2026-09-01
multihull sailboats,140,29,informational,us,2026-09-01
power catamaran vs sailing catamaran,110,2,"commercial, informational",us,2026-09-01
living on a catamaran,110,3,informational,us,2026-09-01
sailing monohull vs. catamaran,110,3,"commercial, informational",us,2026-09-01
catamaran boat insurance,110,4,informational,us,2026-09-01
fiberglass catamaran,110,4,informational,us,2026-09-01
learn to sail a catamaran,110,5,informational,us,2026-09-01
46 foot catamaran,110,6,informational,us,2026-09-01
cruising in a catamaran,110,6,informational,us,2026-09-01
catamaran vs trimaran,110,8,informational,us,2026-09-01
croatia catamaran bareboat charter,110,8,informational,us,2026-09-01
grenadines catamaran charter,110,8,informational,us,2026-09-01
sailing boat vs catamaran,110,10,"commercial, informational",us,2026-09-01
largest catamaran in the world,110,11,informational,us,2026-09-01
65 ft catamaran,110,12,informational,us,2026-09-01
largest sailing catamaran,110,12,informational,us,2026-09-01
40 catamaran,110,13,informational,us,2026-09-01
greek islands catamaran charter,110,13,informational,us,2026-09-01
hybrid catamaran,110,13,informational,us,2026-09-01
catamaran rental mediterranean,110,14,informational,us,2026-09-01
inside of a catamaran,110,14,informational,us,2026-09-01
46 ft catamaran,110,15,informational,us,2026-09-01
catamaran sailing caribbean,110,15,informational,us,2026-09-01
is a catamaran a yacht,110,20,informational,us,2026-09-01
what is catamaran boat,110,20,informational,us,2026-09-01
catamaran boat cost,110,22,"commercial, informational",us,2026-09-01
50 catamaran,110,23,informational,us,2026-09-01
catamaran sailing courses,110,23,informational,us,2026-09-01
catamaran power boat,110,24,informational,us,2026-09-01
catamaran sailing classes,110,25,informational,us,2026-09-01
cat power boat,110,26,informational,us,2026-09-01
sail bvi catamaran,110,29,"commercial, informational",us,2026-09-01
